,prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,difference
293,325000.0, 4502 Turnstone Dr Austin TX 78744 ,3,2.0,1518.0,3.25,1.518,700533.0085754395,375533.00857543945
3,315000.0, 11732 Gaelic Dr Austin TX 78754 ,3,2.0,1704.0,3.15,1.704,699097.9671478271,384097.96714782715
363,318990.0, The Harper (S101) Plan Easton Park ,3,2.0,1065.0,3.1899,1.065,704028.1295776367,385038.1295776367
203,315000.0, 5800 Alomar Cv Del Valle TX 78617 ,3,2.0,1065.0,3.15,1.065,704028.1295776367,389028.1295776367
218,419000.0, 100 W Mockingbird Ln #202 Austin TX 78745 ,5,4.0,3302.0,4.19,3.302,808395.1950073242,389395.1950073242
16,310000.0, 2020 Wayward Sun Dr Austin TX 78754 ,3,2.0,1650.0,3.1,1.65,699514.5797729492,389514.5797729492
37,1150000.0, 3205 Locke Ln Austin TX 78704 ,4,3.0,2021.0,11.5,2.021,757465.4579162598,392534.54208374023
230,819000.0, 137 Finnel Cove Austin TX 78737 ,2,2.0,1081.0,8.19,1.081,425996.20819091797,393003.79180908203
248,360000.0, 7302 Bennett Ave #A Austin TX 78752 ,4,3.0,1902.0,3.6,1.902,758383.5601806641,398383.56018066406
318,359900.0, 11405 Ruffed Grouse Dr Austin TX 78758 ,4,3.0,1911.0,3.599,1.911,758314.1326904297,398414.1326904297
340,825000.0, 7202 Desert Rose Cv Austin TX 78750 ,2,2.0,1101.0,8.25,1.101,425841.90368652344,399158.09631347656
219,890000.0, 11025 Pairnoy Ln Austin TX 78739 ,1,0.4,1967.0820512820512,8.9,1.9670820512820513,488603.5919189453,401396.4080810547
104,299000.0, 11700 Saddle Rock Dr Austin TX 78725 ,3,2.0,1496.0,2.99,1.496,700702.7626037598,401702.76260375977
224,298990.0, Kingston Plan Forest Bluff ,3,2.0,1496.0,2.9899,1.496,700702.7626037598,401712.76260375977
73,349900.0, 1608 Denesa Dr Austin TX 78725 ,4,3.0,2634.0,3.499,2.634,752735.8531951904,402835.85319519043
262,295000.0, 8813 Winter Haven Rd Austin TX 78747 ,3,2.0,1744.0,2.95,1.744,698789.3104553223,403789.31045532227
19,298900.0, 4611 Best Way Austin TX 78725 ,3,2.0,1112.0,2.989,1.112,703665.5426025391,404765.54260253906
268,295000.0, 4702 Creek Bend Dr Austin TX 78744 ,3,2.0,1304.0,2.95,1.304,702184.1526031494,407184.1526031494
288,350000.0, 123 Thelonious Dr Austin TX 78745 ,4,3.0,1902.0,3.5,1.902,758383.5601806641,408383.56018066406
152,350000.0, 4701 Alta Loma Dr Austin TX 78749 ,4,3.0,1821.0,3.5,1.821,759008.5506439209,409008.5506439209
323,295000.0, 2023 Covered Wagon Pass Austin TX 78744 ,3,2.0,1065.0,2.95,1.065,704028.1295776367,409028.1295776367
394,339000.0, 3633 Ruby Red Dr Austin TX 78728 ,4,3.0,3243.0,3.39,3.243,748037.1475219727,409037.14752197266
92,345000.0, 9020 Bird Brook Ln Austin TX 78747 ,4,3.0,2305.0,3.45,2.305,755274.248123169,410274.24812316895
283,289900.0, 8904 Meridian Oak Ln Austin TX 78744 ,3,2.0,1065.0,2.899,1.065,704028.1295776367,414128.1295776367
329,285000.0, 303 W Garrett Run Austin TX 78753 ,3,2.0,1512.0,2.85,1.512,700579.3571472168,415579.3571472168
